set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R,mean_F_at_delta0,delta0_margin_vs_best
jittered_zero,BR,10.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064,0.008166435887954146,0.0
jittered_zero,HBR,10.0,0.002,0.0,0.16543965664034055,0.14205609008126757,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064,0.16543965664034055,0.0
jittered_zero,HR,10.0,0.002,0.005,0.16508573239756197,0.1416812750010048,0.11415953275611938,0.8599369485364905,0.9523809523809523,0.9919700251217186,0.16543965664134064,0.0003539242437786694
known_zero,BR,10.0,0.002,0.0,0.008179631359930297,0.007387068831117874,0.002787485768950009,0.9999999999999927,1.0,0.9918574855482681,0.008179631359930297,0.0
known_zero,HBR,10.0,0.002,0.0,0.008179631358937501,0.007387068830125002,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.008179631358937501,0.0
known_zero,HR,10.0,0.002,0.0,0.00817963135993759,0.007387068831125091,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.00817963135993759,0.0
random_critical_line,BR,10.0,0.002,0.0,0.009348063576100994,0.008441628934318074,0.004774928272931704,0.4630122710470371,1.0,0.9907064828363884,0.009348063576100994,0.0
random_critical_line,HBR,10.0,0.002,0.0,0.8605374308871332,0.8600699399230483,0.4075928900195315,0.4630122710470371,1.0,0.9907064828363884,0.8605374308871332,0.0
random_critical_line,HR,10.0,0.002,0.05,0.8342572745659329,0.8226677821495791,0.39153134866892464,0.4717403389186353,0.6666666666666665,0.9916848720818707,0.8605374308881333,0.026280156322200376
