policy,n_test,mean_compute_cost,median_compute_cost,solve_rate,timeout_rate
vsids,44,406.7353636363636,50.876000000000005,0.9772727272727273,0.022727272727272728
moms,44,706.5590000000001,29.732,0.9318181818181818,0.06818181818181818
jeroslow_wang,44,684.6435454545455,33.914,0.9545454545454546,0.045454545454545456
score_with_R,44,797.8511818181818,53.65,0.9318181818181818,0.06818181818181818
frozen_gate_v17,44,778.2738181818182,55.408,0.9318181818181818,0.06818181818181818
gate_plus_L,44,791.512,48.821999999999996,0.9318181818181818,0.06818181818181818
gate_shuffled_L,44,784.6958181818183,50.662,0.9318181818181818,0.06818181818181818
