comparison,n_pairs,delta_utility_mean,ci95_low,ci95_high,wins,losses,ties
gate_plus_L_vs_frozen_gate_v17,44,-13.238181818181841,-37.31209090909093,6.030906818181833,20,22,2
gate_plus_L_vs_score_with_R,44,6.3391818181818085,-8.543745454545425,21.76271590909085,22,20,2
gate_plus_L_vs_moms,44,-84.95299999999999,-130.01992727272722,-44.536129545454514,5,37,2
gate_plus_L_vs_jeroslow_wang,44,-106.86845454545454,-400.5296522727272,64.26595000000007,15,27,2
gate_plus_L_vs_vsids,44,-384.7766363636363,-973.2245863636364,6.02569090909087,18,25,1
gate_plus_L_vs_gate_shuffled_L,44,-6.8161818181818745,-20.15984545454561,6.043836363636362,21,23,0
