dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,runtime_budget_exceeded,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,vsids,100,160,1.6,1,1,0,0,153,827,44,44,22,0.013517459124507743,0.07780999998794869,93.20800000000001
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,moms,100,160,1.6,1,1,0,0,34,232,11,11,15,0.013517459124507743,0.018327833036892116,22.128
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,1,0,0,20,144,10,10,11,0.013517459124507743,0.010866250027902424,16.576
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,1,0,0,120,410,27,27,30,0.013517459124507743,0.053203541960101575,64.64
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,1,0,0,119,291,20,20,36,0.013517459124507743,0.04656037496170029,56.864
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,1,0,0,84,260,16,16,31,0.013517459120831457,0.03749254101421684,42.24
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,1,0,0,57,198,14,14,23,0.013517459114538397,0.027575624990276992,31.892
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,vsids,100,160,1.6,1,1,0,0,116,531,23,23,22,0.013209298858445092,0.05696279200492427,59.924
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,moms,100,160,1.6,1,1,0,0,19,150,9,9,10,0.013209298858445092,0.010382583015598357,15.299999999999999
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,1,0,0,59,330,24,24,21,0.013209298858445092,0.027976833982393146,43.02
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,1,0,0,83,228,20,20,21,0.013209298858445092,0.03718174999812618,45.812
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,1,0,0,120,480,33,33,31,0.013209298858445092,0.05700737499864772,70.92
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,1,0,0,109,291,19,19,36,0.013209298851003451,0.04395075002685189,52.864
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,1,0,0,129,285,18,18,31,0.013209298858469507,0.05378704203758389,57.839999999999996
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,vsids,100,160,1.6,1,1,0,0,115,470,20,20,30,0.013460474298374549,0.05017924995627254,56.38
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,moms,100,160,1.6,1,1,0,0,29,157,7,7,20,0.013460474298374549,0.014842625008895993,16.328
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,1,0,0,23,149,6,6,19,0.013460474298374549,0.011822458996903151,13.495999999999999
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,1,0,0,54,138,9,9,23,0.013460474298374549,0.026990999991539866,25.752
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,frozen_gate_v17,100,160,1.6,1,1,0,0,45,145,9,9,28,0.013460474298374549,0.022004124999511987,23.08
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,gate_plus_L,100,160,1.6,1,1,0,0,95,573,28,28,31,0.013460474288446655,0.05000687501160428,58.792
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,gate_shuffled_L,100,160,1.6,1,1,0,0,77,290,17,17,27,0.01346047429094106,0.03560275002382696,41.25999999999999
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,vsids,100,200,2.0,1,0,0,0,63,168,17,16,24,0.08068486698376007,0.03791549999732524,36.571999999999996
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,moms,100,200,2.0,1,0,0,0,29,99,8,7,24,0.08068486698376007,0.017364375002216548,17.096
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,jeroslow_wang,100,200,2.0,1,0,0,0,23,46,7,6,18,0.08068486698376007,0.014406208007130772,14.083999999999998
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,score_with_R,100,200,2.0,1,0,0,0,58,85,10,9,36,0.08068486698376007,0.032934167014900595,27.74
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,frozen_gate_v17,100,200,2.0,1,0,0,0,42,58,8,7,29,0.08068486698376007,0.024857582990080118,20.832
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,gate_plus_L,100,200,2.0,1,0,0,0,84,117,8,7,28,0.08068486701177369,0.04815883300034329,33.668000000000006
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,gate_shuffled_L,100,200,2.0,1,0,0,0,75,116,15,14,38,0.08068486698353491,0.03965125000104308,37.964
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,vsids,100,199,1.99,1,0,0,0,104,263,22,21,24,0.07221815988369902,0.0614025000249967,54.252
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,moms,100,199,1.99,1,0,0,0,71,281,24,23,28,0.07221815988369902,0.04095283296192065,46.424
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,jeroslow_wang,100,199,1.99,1,0,0,0,73,452,39,38,21,0.07221815988369902,0.047490666969679296,62.708
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,score_with_R,100,199,1.99,1,0,0,0,127,203,21,20,36,0.07221815988369902,0.06965983298141509,59.912
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,frozen_gate_v17,100,199,1.99,1,0,0,0,106,226,21,20,30,0.07221815988369902,0.060907417035195976,53.704
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,gate_plus_L,100,199,1.99,1,0,0,0,57,115,16,15,31,0.07221815988382452,0.034814041981007904,33.559999999999995
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,gate_shuffled_L,100,199,1.99,1,0,0,0,129,500,31,30,29,0.07221815986522691,0.07361720904009417,71.69999999999999
dubois_dubois100,satlib_dimacs_dubois,test,vsids,300,396,1.32,1,1,0,0,100,99,0,0,100,0.0020941733988784797,0.10083304200088605,30.396
dubois_dubois100,satlib_dimacs_dubois,test,moms,300,396,1.32,1,1,0,0,100,99,0,0,100,0.0020941733988784797,0.10484295897185802,30.396
dubois_dubois100,satlib_dimacs_dubois,test,jeroslow_wang,300,396,1.32,1,1,0,0,100,99,0,0,100,0.0020941733988784797,0.10388504201546311,30.396
dubois_dubois100,satlib_dimacs_dubois,test,score_with_R,300,396,1.32,1,1,0,0,100,99,0,0,100,0.0020941733988784797,0.10218254098435864,30.396
dubois_dubois100,satlib_dimacs_dubois,test,frozen_gate_v17,300,396,1.32,1,1,0,0,100,99,0,0,100,0.0020941733988784797,0.10406862501986325,30.396
dubois_dubois100,satlib_dimacs_dubois,test,gate_plus_L,300,396,1.32,1,1,0,0,100,99,0,0,100,0.002094173344291844,0.10375983401900157,30.396
dubois_dubois100,satlib_dimacs_dubois,test,gate_shuffled_L,300,396,1.32,1,1,0,0,101,99,0,0,101,0.0020941733988756785,0.10384429100668058,30.695999999999998
dubois_dubois20,satlib_dimacs_dubois,calibration,vsids,60,160,2.6666666666666665,1,0,0,0,492,1386,156,155,30,0.5,0.1996671250090003,309.144
dubois_dubois20,satlib_dimacs_dubois,calibration,moms,60,160,2.6666666666666665,1,0,0,0,67,1229,44,43,21,0.5,0.047217583982273936,69.01599999999999
dubois_dubois20,satlib_dimacs_dubois,calibration,jeroslow_wang,60,160,2.6666666666666665,1,0,0,0,377,2105,245,244,21,0.5,0.24782154196873307,366.52000000000004
