epsilon,chi2
-8.120000000000000481e-03,1.238403486512624418e+01
-8.099999999999999561e-03,1.238411845560863078e+01
-8.080000000000000376e-03,1.238420228127019129e+01
-8.059999999999999457e-03,1.238428634211088486e+01
-8.040000000000000271e-03,1.238437063813073813e+01
-8.019999999999999352e-03,1.238445516932975643e+01
-8.000000000000000167e-03,1.238453993570791667e+01
-7.980000000000000981e-03,1.238462493726525082e+01
-7.960000000000000062e-03,1.238471017400173046e+01
-7.939999999999999142e-03,1.238479564591736626e+01
-7.919999999999999957e-03,1.238488135301215465e+01
-7.900000000000000772e-03,1.238496729528610629e+01
-7.879999999999999852e-03,1.238505347273921231e+01
-7.860000000000000667e-03,1.238513988537147270e+01
-7.839999999999999747e-03,1.238522653318288924e+01
-7.820000000000000562e-03,1.238531341617346193e+01
-7.799999999999999642e-03,1.238540053434318899e+01
-7.780000000000000457e-03,1.238548788769206865e+01
-7.759999999999999537e-03,1.238557547622011512e+01
-7.740000000000000352e-03,1.238566329992731063e+01
-7.719999999999999432e-03,1.238575135881366407e+01
-7.700000000000000247e-03,1.238583965287917188e+01
-7.680000000000000195e-03,1.238592818212383406e+01
-7.660000000000000142e-03,1.238601694654764529e+01
-7.640000000000000090e-03,1.238610594615063398e+01
-7.620000000000000037e-03,1.238619518093276639e+01
-7.599999999999999985e-03,1.238628465089404962e+01
-7.579999999999999932e-03,1.238637435603449255e+01
-7.559999999999999880e-03,1.238646429635409874e+01
-7.539999999999999827e-03,1.238655447185285219e+01
-7.520000000000000642e-03,1.238664488253076179e+01
-7.499999999999999722e-03,1.238673552838782399e+01
-7.480000000000000537e-03,1.238682640942405122e+01
-7.459999999999999618e-03,1.238691752563943105e+01
-7.440000000000000432e-03,1.238700887703397058e+01
-7.419999999999999513e-03,1.238710046360765737e+01
-7.400000000000000328e-03,1.238719228536050565e+01
-7.379999999999999408e-03,1.238728434229251008e+01
-7.360000000000000223e-03,1.238737663440366532e+01
-7.340000000000000170e-03,1.238746916169398915e+01
-7.320000000000000118e-03,1.238756192416344959e+01
-7.300000000000000065e-03,1.238765492181208749e+01
