z,C_proj_norm,R_proj,H,B,S,V,R_resp,R_rob,CCI_min,CCI_diag
1.051314142678348024e-01,1.395604814405185801e+00,7.234626871737190879e-01,9.715704185592580755e-01,5.203909250630188721e-01,5.030707635576137093e-01,5.733719682673065199e-01,6.618305620940524436e-01,6.179699871610800921e-01,2.435784871436118271e-01,1.874818861272259662e-01
1.076345431789737239e-01,1.406565903679033891e+00,7.214029557897885248e-01,9.713714233038108770e-01,5.204821366611266376e-01,5.030950306451744680e-01,5.740692497323038879e-01,6.620922108146277685e-01,6.181606642087612569e-01,2.435207299534385417e-01,1.874364324120142977e-01
1.101376720901126455e-01,1.417605956464660366e+00,7.193311842204607176e-01,9.711711823924764619e-01,5.205740376724309337e-01,5.031194749191080229e-01,5.747723200967185253e-01,6.623558540844319831e-01,6.183527782793271088e-01,2.434624749807421107e-01,1.873906055958305672e-01
1.126408010012515670e-01,1.428725499478467276e+00,7.172473406685794250e-01,9.709696897708885999e-01,5.206666331973256456e-01,5.031440975971260832e-01,5.754812265172529751e-01,6.626215053940813782e-01,6.185463388769304460e-01,2.434037182462709392e-01,1.873444029154870960e-01
1.151439299123904886e-01,1.439925062471000050e+00,7.151513937875288995e-01,9.707669393691381599e-01,5.207599283735098172e-01,5.031688999044996446e-01,5.761960165327485450e-01,6.628891783043333596e-01,6.187413555521101838e-01,2.433444557444091882e-01,1.872978215919300915e-01
1.176470588235294101e-01,1.451205178241727012e+00,7.130433126885750150e-01,9.705629251017869885e-01,5.208539283762920746e-01,5.031938830741036206e-01,5.769167380675872536e-01,6.631588864462988342e-01,6.189378379018907195e-01,2.432846834430723582e-01,1.872508588302007893e-01
1.201501877346683456e-01,1.462566382653899488e+00,7.109230669482208276e-01,9.703576408678903364e-01,5.209486384188964925e-01,5.032190483464615838e-01,5.776434394351305235e-01,6.634306435216584807e-01,6.191357955698824078e-01,2.432243972836030110e-01,1.872035118193968173e-01
1.226533166458072671e-01,1.474009214649501853e+00,7.087906266155687973e-01,9.701510805510086266e-01,5.210440637527727903e-01,5.032443969697922848e-01,5.783761693411965110e-01,6.637044633028772456e-01,6.193352382463812589e-01,2.431635931806685191e-01,1.871557777326349759e-01
1.251564455569461887e-01,1.485534216264296159e+00,7.066459622196891166e-01,9.699432380192282155e-01,5.211402096679106366e-01,5.032699302000537278e-01,5.791149768875785142e-01,6.639803596334242775e-01,6.195361756684705234e-01,2.431022670221565096e-01,1.871076537270124351e-01
1.276595744680850963e-01,1.497141932642949147e+00,7.044890447769945885e-01,9.697341071251750488e-01,5.212370814931553964e-01,5.032956493009910215e-01,5.798599115756032374e-01,6.642583464279909755e-01,6.197386176201229446e-01,2.430404146690738065e-01,1.870591369435706808e-01
1.301627033792240318e-01,1.508832912054260955e+00,7.023198457986187249e-01,9.695236817060304269e-01,5.213346845965296517e-01,5.033215555441812317e-01,5.806110233097292461e-01,6.645384376727132558e-01,6.199425739323021212e-01,2.429780319554436518e-01,1.870102245072580160e-01
1.326658322903629672e-01,1.520607705906476648e+00,7.001383372977970643e-01,9.693119555835582046e-01,5.214330243855564984e-01,5.033476502090817872e-01,5.813683624011881657e-01,6.648206474253968157e-01,6.201480544830687558e-01,2.429151146882035373e-01,1.869609135268928135e-01
1.351689612015018749e-01,1.532466868762693668e+00,6.979444917972498219e-01,9.690989225641166716e-01,5.215321063075876173e-01,5.033739345830764433e-01,5.821319795716658474e-01,6.651049898157416207e-01,6.203550691976834619e-01,2.428516586471039518e-01,1.869112010951272385e-01
1.376720901126408103e-01,1.544410958356365660e+00,6.957382823365640956e-01,9.688845764386780912e-01,5.216319358501338987e-01,5.034004099615236871e-01,5.829019259570278333e-01,6.653914790455698336e-01,6.205636280487125678e-01,2.427876595846081842e-01,1.868610842884120549e-01
1.401752190237797180e-01,1.556440535606895104e+00,6.935196824795748505e-01,9.686689109828540145e-01,5.217325185412002853e-01,5.034270776478044773e-01,5.836782531110875638e-01,6.656801293890575177e-01,6.207737410561359193e-01,2.427231132257907653e-01,1.868105601669600158e-01
1.426783479349186534e-01,1.568556164635325212e+00,6.912886663217423511e-01,9.684519199569106007e-01,5.218338599496247232e-01,5.034539389533705389e-01,5.844610130094172185e-01,6.659709551929651195e-01,6.209854182874533501e-01,2.426580152682383806e-01,1.867596257747115573e-01
1.451814768460575888e-01,1.580758412780125077e+00,6.890452084975252633e-01,9.682335971057887125e-01,5.219359656854204443e-01,5.034809951977935460e-01,5.852502580532045195e-01,6.662639708768733904e-01,6.211986698577938171e-01,2.425923613819505054e-01,1.867082781392999102e-01
1.476846057571964965e-01,1.593047850613074967e+00,6.867892841877486498e-01,9.680139361591368896e-01,5.220388414001213562e-01,5.035082477088131947e-01,5.860460410731529457e-01,6.665591909334217524e-01,6.214135059300265329e-01,2.425261472092386794e-01,1.866565142720155446e-01
1.501877346683354320e-01,1.605425051955238214e+00,6.845208691269631940e-01,9.677929308313198975e-01,5.221424927871327615e-01,5.035356978223884949e-01,5.868484153334284636e-01,6.668566299285455523e-01,6.216299367148709898e-01,2.424593683646306952e-01,1.866043311677739458e-01
1.526908635794743396e-01,1.617890593893049012e+00,6.822399396107954317e-01,9.675705748214517010e-01,5.222469255820852974e-01,5.035633468827461767e-01,5.876574345356517792e-01,6.671563025017207549e-01,6.218479724710100909e-01,2.423920204347707053e-01,1.865517258050803096e-01
1.551939924906132751e-01,1.630445056794477710e+00,6.799464725032897672e-01,9.673468618134212216e-01,5.223521455631919830e-01,5.035911962424317601e-01,5.884731528229377728e-01,6.674582233662089692e-01,6.220676235052046144e-01,2.423240989783221055e-01,1.864986951459966791e-01
1.576971214017521827e-01,1.643089024325310454e+00,6.776404452442340576e-01,9.671217854759089905e-01,5.224581585516109294e-01,5.036192472623600702e-01,5.892956247839823414e-01,6.677624073093034740e-01,6.222889001724072333e-01,2.422555995258715844e-01,1.864452361361093879e-01
1.602002503128911182e-01,1.655823083465524315e+00,6.753218358564765378e-01,9.668953394624165698e-01,5.225649704118106031e-01,5.036475013118671962e-01,5.901249054571969799e-01,6.680688691925805722e-01,6.225118128758803104e-01,2.421865175798331160e-01,1.863913457044966970e-01
1.627033792240300536e-01,1.668647824525762102e+00,6.729906229532227613e-01,9.666675174112964175e-01,5.226725870519404182e-01,5.036759597687606727e-01,5.909610503348924349e-01,6.683776239521541651e-01,6.227363720673133596e-01,2.421168486143511211e-01,1.863370207636955433e-01
1.652065081351689613e-01,1.681563841163907336e+00,6.706467857453199954e-01,9.664383129457811972e-01,5.227810144242046597e-01,5.037046240193727709e-01,5.918041153675115407e-01,6.686886865989321027e-01,6.229625882469445042e-01,2.420465880752062926e-01,1.862822582096707036e-01
1.677096370463078967e-01,1.694571730401763565e+00,6.682903040485194124e-01,9.662077196740015417e-01,5.228902585252407365e-01,5.037334954586124569e-01,5.926541569679123489e-01,6.690020722188740887e-01,6.231904719636791601e-01,2.419757313797221698e-01,1.862270549217835691e-01
1.702127659574468044e-01,1.707672092641839168e+00,6.659211582907207383e-01,9.659757311890294629e-01,5.230003253965027632e-01,5.037625754900183495e-01,5.935112320157022170e-01,6.693177959732574678e-01,6.234200338152164900e-01,2.419042739166699929e-01,1.861714077627603658e-01
