source,target,source_candidate_id,target_candidate_id,source_background_id,target_background_id,source_type,target_type,feature_distance,tunnel_barrier_proxy,delta_F_bridge,structural_uphill,structural_downhill,avg_control,avg_tadpole,stability_loss,gamma_proxy,transition_weight,structural_action,energy_action,P_structural,P_energy,source_F_bridge,target_F_bridge,source_abs_energy,target_abs_energy
0,48,0,103,0,56,AdS minimum,AdS minimum,4.283869307860591,0.37665520628547683,-0.0032104365452678696,0.0,0.0032104365452678696,0.008893183496284117,0.08,4.735615899420509e-09,0.6861526142234556,0.6450433780331858,0.43843771168310125,0.37665520628547683,0.217451173046372,0.1942327830503972,-1.992408339672047,-1.9956187762173148,3.364864469033528e-15,1.7341339890211448e-15
0,35,0,77,0,42,AdS minimum,dS minimum,4.398110329028619,0.41739867280234516,0.39959548053739957,0.39959548053739957,0.0,0.008818775178555407,0.1,1.5747449955139103e-08,0.658758238592597,0.43528447515337054,0.8317554957661332,0.41739867280234516,0.14673915422491965,0.186478114907463,-1.992408339672047,-1.5928128591346473,3.364864469033528e-15,1.0627557417675658e-15
0,16,0,37,0,22,AdS minimum,AdS minimum,4.516451091466166,0.3582880891604916,0.40350551240192445,0.40350551240192445,0.0,0.009070660688862739,0.1,0.0,0.6988717086383515,0.4601303309577243,0.7762455014598764,0.5671975124739137,0.15511496378128062,0.16053549105381226,-1.992408339672047,-1.5889028272701224,3.364864469033528e-15,4.461358351983369e-15
0,12,0,29,0,15,AdS minimum,AdS minimum,4.597672431307363,0.3901678705978794,-0.6143134493114102,0.0,0.6143134493114102,0.009158244271066047,0.06,0.0,0.676943226095224,0.6445248248823511,0.43924193929605204,0.5107885356075025,0.21727636311144985,0.16985141459241293,-1.992408339672047,-2.606721788983457,3.364864469033528e-15,3.921326889136822e-15
0,11,0,26,0,14,AdS minimum,AdS minimum,4.606213565554614,0.385258531978791,0.4045064100579796,0.4045064100579796,0.0,0.009135309933295862,0.1,0.0,0.6802747406934271,0.4474735623970832,0.804137821454699,0.5811146927613234,0.15084822876125806,0.15831676470120704,-1.992408339672047,-1.5879019296140673,3.364864469033528e-15,4.372333158560342e-15
0,20,0,45,0,27,AdS minimum,AdS minimum,4.621329343585216,0.4054114154313633,0.7098125492972105,0.7098125492972105,0.0,0.009166975047054486,0.12,0.0,0.6667024627455191,0.33392603758446365,1.0968357548857521,0.7736848970847573,0.11257011707471987,0.13058543169470774,-1.992408339672047,-1.2825957903748364,3.364864469033528e-15,5.937258360812534e-15
1,63,2,134,1,75,dS minimum,dS minimum,4.426394687467873,0.3561070858015287,0.24711815152506644,0.24711815152506644,0.0,0.008135586461347287,0.18,1.408636429722776e-09,0.7003976135794112,0.5005205306633417,0.6921066607617946,0.3561070858015287,0.1674471437747549,0.1955620190892547,-1.2891084946868416,-1.0419903431617752,5.405006277784081e-15,4.852796687006685e-15
1,32,2,71,1,39,dS minimum,dS minimum,5.034640054574167,0.4102675602176766,0.24812301012881366,0.24812301012881366,0.0,0.008240252392340296,0.18,0.0,0.6634727074836664,0.4736737921326436,0.7472363964587425,0.4102675602176766,0.15846567466163922,0.18525200510468212,-1.2891084946868416,-1.040985484558028,5.405006277784081e-15,1.9996712722978376e-15
1,13,2,31,1,19,dS minimum,dS minimum,5.2021825400004325,0.5024538079777872,0.24997112897802087,0.24997112897802087,0.0,0.008432930239021747,0.18,0.0,0.6050441744616074,0.4311904138903635,0.8412054908720288,0.5024538079777872,0.14425303020698615,0.1689378405948661,-1.2891084946868416,-1.0391373657088208,5.405006277784081e-15,4.589950657555417e-16
1,2,2,5,1,3,dS minimum,dS minimum,5.300824757880507,0.45065525957289154,0.24595238182914625,0.24595238182914625,0.0,0.008014307726497975,0.18,1.2631028056819815e-08,0.6372104765292239,0.45587777982171906,0.7855305321000846,0.6269521474124219,0.15251208984445816,0.1491619309467538,-1.2891084946868416,-1.0431561128576954,5.405006277784081e-15,6.819406431689692e-15
