family,n_instances,mean_regret_gate_to_moms,median_regret_gate_to_moms,mean_moms_local_signal,mean_short_clause_pressure,mean_short_variable_concentration,mean_weighted_clause_pressure,mean_propagation_cascade_mean,mean_variable_occurrence_cv,mean_G_gate
satlib_dimacs_aim,5,28.036,29.188000000000017,0.3413333333333285,0.33199999999999674,0.30333333333320833,0.1259374999999992,1.012,0.18804967550745538,3.9255523255009555e-05
satlib_dimacs_dubois,5,198.00799999999998,229.05199999999996,2.4322758851454163,2.3973333333332993,0.013783591609678538,0.11761078595317664,1.0,0.0,0.18339442396642353
satlib_dimacs_pigeonhole,5,88.13680000000015,35.79600000000028,4.0569877344876755,3.999999999999943,0.015151515151515116,0.24196993853368626,5.0,0.0,0.2357709130126852
satlib_graph_coloring_flat30,5,0.2287999999999993,0.0,3.0444444444444105,2.9999999999999667,0.014814814814814786,0.2374999999999992,4.0,0.18938060111096985,0.03428880039744066
satlib_random_3sat_uf20,5,0.9711999999999996,1.632,4.866666666666422,4.5499999999997724,0.06959706959706934,0.12499999999999864,1.0,0.22491947700789666,0.816162317110378
satlib_random_3sat_uuf50,5,19.0568,21.803999999999995,4.494666666666577,4.359999999999912,0.030886850152905154,0.12499999999999942,1.0,0.2611248138698933,0.5362771465134887
