channel,spearman_regret_gate_to_moms,pearson_regret_gate_to_moms,mean,std
G_gate,-0.17597330367074532,-0.16708043166619718,0.3009888094206118,0.29299844036394973
R_rob,-0.17597330367074532,0.11845798275143425,0.7169526162889188,0.13213186575440394
paper69_degree_cv,-0.5666809481504236,-0.5300558061153148,0.17197577916399812,0.15842831942096486
paper69_literal_imbalance,-0.26466063556575803,-0.24751650929155616,0.3381821897915115,0.29418740263090043
paper69_clustering_mean,-0.003337041156840935,-0.08841605159391512,0.41091990389738314,0.2083600599610179
paper69_largest_component_frac,0.20381464344701464,0.11070367806497715,0.9887777777777778,0.06043351616895388
min_clause_len,-0.04631674366450494,0.1611518822896568,2.533333333333333,0.49888765156985887
mean_clause_len,0.08512329851586449,0.05350871919511967,2.746327943309828,0.4650377166636075
clause_length_cv,0.021698095700122322,-0.0065691582629720845,0.11738301591149375,0.1739808434946358
clause_length_entropy,-0.21245058537152733,-0.21285473923739673,0.15354062584005398,0.2235150382777323
unit_binary_fraction,0.08403751570127649,-0.08093651568852338,0.3123881825265212,0.43959381286331783
short_clause_fraction,0.16780971267929767,0.15599430237606116,0.8344617611218355,0.3303330929160457
short_clause_pressure,-0.3886742466327181,-0.13353311900695158,3.106555555555482,1.5197337689197108
short_variable_concentration,-0.08232966358324391,-0.14930128043100066,0.07459452910986522,0.12792282286124645
short_variable_entropy,0.6429848084737971,0.5381071667615492,0.9955739959180597,0.004259030012678383
moms_local_signal,-0.3375361701934772,-0.14580337525071396,3.206062455123971,1.5905516594463762
weighted_clause_pressure,0.21127444466832804,-0.07439717516939941,0.16216970408114317,0.055271972941478176
jw_variable_concentration,-0.2170429368418519,-0.25902401283660437,0.026736816120651728,0.020390451027131565
variable_occurrence_cv,-0.4877906492225806,-0.6376841434992575,0.14391242791603584,0.10576606263105473
literal_polarity_imbalance,-0.26466063556575803,-0.24721430073104797,0.33799330094375,0.29432887911200845
propagation_cascade_mean,0.05605523209143131,-0.09379337463506669,2.1686666666666667,1.6983084394642676
propagation_cascade_max,-0.016032764462978927,-0.14863383241444392,3.8,3.7363083384538807
propagation_cascade_cv,0.008454146973605213,-0.11217656933549763,0.2793288237609205,0.36401255143848893
propagation_conflict_fraction,0.0,0.0,0.0,0.0
