scenario,t,viscosity,amplitude,BKM_integral,ToE_MAAT_action,warning_action,energy,dissipation,equation_residual_defect,divergence_defect,energy_balance_defect,omega_inf,enstrophy,palinstrophy,vortex_stretch_mean,vortex_stretch_inf,stretch_pressure,activity_pressure,low_mode_fraction,spectral_tail_fraction,DeltaE,DeltaQ,H,B,S_eff,V,R_resp,R_rob,Z_partition,cascade_resistance,ToE_MAAT_integrand,MAAT_warning
taylor_green_moderate_viscosity,0.03,0.02,1.0,0.0598813857028029,0.012752386248444002,0.00015622222357358062,0.12455227054476883,0.014947666715178935,0.013329037687599427,2.7616642951731057e-15,0.001562219793268267,1.99604619009343,0.37369166787947344,1.1213538838283756,0.14882471895584495,0.35240125237248304,0.3982553847131723,0.9967590078456734,0.99999999999998,1.9023768082671613e-19,0.001562219793268267,2.7635666719813727e-16,0.9868462886270202,0.9984402169307157,0.999995220793705,0.99999999999998,0.995078156026386,0.995078156026386,0.9950902484532792,0.9436291891379907,0.4250795416148001,0.005207407452452688
taylor_green_moderate_viscosity,0.06,0.02,1.0,0.11961783985615423,0.02549960456244374,0.0003124191269402578,0.12410604866410778,0.01489825732382271,0.013277550323994778,2.739569995434059e-15,0.0016239909536651825,1.9912151384450443,0.3724564330955677,1.1184761995626007,0.14936179167467808,0.35148454302463816,0.4010181551514582,0.9942010662761003,0.9999999999971664,3.157385827740346e-16,0.0016239909536651825,5.896955823174405e-16,0.9868964329469729,0.9983786421168696,0.9999846605807694,0.9999999999971664,0.9950745533500472,0.9950745533500472,0.995086663470244,0.9432603228268599,0.42490727713332466,0.005206563445555906
taylor_green_moderate_viscosity,0.09,0.02,1.0,0.17918360118496135,0.03824106048552195,0.00046861905699825495,0.12366124814239703,0.014851695626917802,0.01322475554066321,2.644090654745472e-15,0.0016840885054014538,1.9855253776269035,0.37129239067294506,1.116349581823649,0.15004856584918413,0.3507934748364174,0.4041250766729317,0.9923107393970355,0.9999999999599686,1.3037669730040567e-14,0.0016840885054014538,1.3302078795515113e-14,0.986947855874673,0.9983187428803882,0.9999729787863734,0.9999999999599686,0.9950719349777969,0.9950719349777969,0.9950840579478412,0.9428458521559818,0.42471519743594044,0.00520666433526657
taylor_green_moderate_viscosity,0.12,0.02,1.0,0.23855350495890343,0.050976260397397874,0.00062484967824587,0.12321778498381902,0.014807908743195297,0.013170733799047981,2.802780047080594e-15,0.0017425456698589082,1.9789967924647358,0.3701977185798825,1.1149585289806818,0.15086494547105922,0.350316194435158,0.40752532470860586,0.9910742479810668,0.9999999997527217,1.620909533869835e-13,0.0017425456698589082,1.6237123139169156e-13,0.9870004794259454,0.9982604855135769,0.9999635444191213,0.9999999997527217,0.9950702634825972,0.9950702634825972,0.9950823945678914,0.9423926682782301,0.42450666372919754,0.0052076873749205
taylor_green_moderate_viscosity,0.15,0.02,1.0,0.29770302068840543,0.06370479253367864,0.0007811383249643332,0.12277557731624826,0.01476682688537736,0.013115584281929351,2.779803357590216e-15,0.0017993912903378625,1.9716505243167335,0.369170672134434,1.1142892784481728,0.1517943768216704,0.3500389975208878,0.4111766948973214,0.9904793586188376,0.9999999990082588,1.0978447061410981e-12,0.0017993912903378625,1.098122686476857e-12,0.9870542073526308,0.9982038407030572,0.9999584982828613,0.9999999990082588,0.9950694966851367,0.9950694966851367,0.9950816311711299,0.9419064997759075,0.42428440454269195,0.005209621557282109
taylor_green_moderate_viscosity,0.18,0.02,1.0,0.3566082868667042,0.07642631064535038,0.0009375123057904225,0.12233454530178554,0.014728383144193892,0.013059422920640794,2.700343797906511e-15,0.0018546499753153477,1.9635088726099585,0.3682095786048474,1.1143296904296358,0.15282326383810932,0.3499465580636565,0.4150442376234327,0.990515280380138,0.9999999969513993,5.1478905779709994e-12,0.0018546499753153477,5.14816061235079e-12,0.9871089270528738,0.9981487833835366,0.9999588123522412,0.9999999969513993,0.9950695881908288,0.9950695881908288,0.9950817212033959,0.9413920953146204,0.4240506037223917,0.005212466027536312
taylor_green_moderate_viscosity,0.21,0.02,1.0,0.4152461426909494,0.08914052171901236,0.0010939991444142835,0.12189461105371045,0.014692513279827617,0.013002380390483315,2.7465753626871776e-15,0.001908342259443813,1.954595194141507,0.3673128319956905,1.1150691392434202,0.153940110464554,0.3500221667114987,0.4190981012771724,0.9911725682146119,0.9999999921751327,1.8862418762643884e-11,0.001908342259443813,1.8862693420180154e-11,0.9871645115133156,0.9980952925742286,0.9999643466547029,0.9999999921751327,0.9950704879158266,0.9950704879158266,0.9950826141273081,0.9408535119018056,0.42380703578873274,0.0052162279541286966
taylor_green_moderate_viscosity,0.24,0.02,1.0,0.4735941567094213,0.10184717661763952,0.0012506267714426555,0.12145569855963644,0.014659155520507854,0.012944600092229844,2.7981090949332913e-15,0.001960484785891801,1.9449338006157295,0.36647888801269635,1.116498411464905,0.15513491198426868,0.35024797327712454,0.42331200256881063,0.992443032411485,0.9999999823703514,5.7899566651428446e-11,0.001960484785891801,5.789984646233794e-11,0.9872208212659863,0.9980433511943231,0.9999739040453485,0.9999999823703514,0.995072142595337,0.995072142595337,0.9950842557931915,0.9402943192013357,0.42355516328757176,0.005220920900945734
taylor_green_moderate_viscosity,0.27,0.02,1.0,0.5316306523553812,0.11454606264741017,0.0014074236805818956,0.12101773361065667,0.014628250368024778,0.01288623613649876,2.759909404830888e-15,0.0020110905011664626,1.9345498548653295,0.36570625920061944,1.1186096102035015,0.156398759615993,0.3506052285057541,0.427662244440197,0.9943196535124563,0.9999999640097074,1.5552686988318857e-10,0.0020110905011664626,1.5552714587412906e-10,0.9872777063437509,0.997992945866337,0.9999852832921926,0.9999999640097074,0.9950744962719159,0.9950744962719159,0.9950865887672392,0.9397177306342063,0.4232962009923547,0.005226563637974668
taylor_green_moderate_viscosity,0.3,0.02,1.0,0.5893347303411323,0.12723699742738434,0.0015644190578275514,0.12058064373627662,0.01459974040997933,0.012827451348034067,2.720757976461271e-15,0.002060168865876266,1.9234692661917052,0.36499351024948323,1.1213960649041463,0.15772357863745223,0.3510745208276665,0.4321270768053154,0.9967965021352473,0.999999931986454,3.763677436119524e-10,0.002060168865876266,3.763680156877501e-10,0.9873350082178719,0.9979440667038906,0.9999953309084223,0.999999931986454,0.9950774907573452,0.9950774907573452,0.9950895526109885,0.9391266886834884,0.42303115933247254,0.005233179241521861
