comparison,n_pairs,delta_utility_mean,ci95_low,ci95_high,wins,losses,ties
gate_v17_vs_score_with_R,24,7.291999999999977,-9.492666666666674,24.509233333333306,11,13,0
gate_v17_vs_vsids,24,-23.758166666666693,-98.75304166666669,17.718174999999974,12,12,0
gate_v17_vs_moms,24,-66.3921666666667,-107.67898750000008,-28.770195833333382,3,20,1
gate_v17_vs_jeroslow_wang,24,-9.439000000000007,-49.771804166666655,21.055629166666655,7,16,1
gate_v17_vs_progress_only,24,-33.49533333333334,-103.59922500000003,4.714949999999972,8,16,0
gate_v17_vs_gate_shuffled_R,24,2.6588333333333107,-7.626745833333322,13.909062500000008,13,10,1
