dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
dubois_dubois100,satlib_dimacs_dubois,test,moms,300,396,1.32,1,1,0,100,99,0,0,100,9.76807816930188e-07,0.10429083398776129,30.396
dubois_dubois100,satlib_dimacs_dubois,test,jeroslow_wang,300,396,1.32,1,1,0,100,99,0,0,100,9.76807816930188e-07,0.10364854198996909,30.396
dubois_dubois100,satlib_dimacs_dubois,test,progress_only,300,396,1.32,1,1,0,100,99,0,0,100,9.76807816930188e-07,0.09972445899620652,30.396
dubois_dubois100,satlib_dimacs_dubois,test,score_with_R,300,396,1.32,1,1,0,100,99,0,0,100,9.76807816930188e-07,0.10378499998478219,30.396
dubois_dubois100,satlib_dimacs_dubois,test,gate_v17,300,396,1.32,1,1,0,101,99,0,0,101,9.76807816930188e-07,0.10456879099365324,30.695999999999998
dubois_dubois100,satlib_dimacs_dubois,test,gate_shuffled_R,300,396,1.32,1,1,0,101,99,0,0,101,0.03492914847942184,0.10530462500173599,30.695999999999998
dubois_dubois20,satlib_dimacs_dubois,test,vsids,60,160,2.6666666666666665,1,0,0,492,1386,156,155,30,0.22998628537476795,0.19963274998008274,309.144
dubois_dubois20,satlib_dimacs_dubois,test,moms,60,160,2.6666666666666665,1,0,0,67,1229,44,43,21,0.22998628537476795,0.04708329201093875,69.01599999999999
dubois_dubois20,satlib_dimacs_dubois,test,jeroslow_wang,60,160,2.6666666666666665,1,0,0,377,2105,245,244,21,0.22998628537476795,0.24721825000597164,366.52000000000004
dubois_dubois20,satlib_dimacs_dubois,test,progress_only,60,160,2.6666666666666665,1,0,0,482,1207,146,145,30,0.22998628537476795,0.18635679100407287,295.428
dubois_dubois20,satlib_dimacs_dubois,test,score_with_R,60,160,2.6666666666666665,1,0,0,522,2176,207,206,23,0.22998628537476795,0.265906124986941,372.30400000000003
dubois_dubois20,satlib_dimacs_dubois,test,gate_v17,60,160,2.6666666666666665,1,0,0,483,2372,218,217,24,0.22998628537476795,0.24571795799420215,372.388
dubois_dubois20,satlib_dimacs_dubois,test,gate_shuffled_R,60,160,2.6666666666666665,1,0,0,564,1784,172,171,24,0.8429594296192963,0.2675353750237264,348.336
dubois_dubois21,satlib_dimacs_dubois,test,vsids,63,168,2.6666666666666665,1,0,0,557,1752,171,170,23,0.2294593685946946,0.24523258401313797,345.108
dubois_dubois21,satlib_dimacs_dubois,test,moms,63,168,2.6666666666666665,1,0,0,70,1353,46,45,22,0.2294593685946946,0.05287466599838808,72.412
dubois_dubois21,satlib_dimacs_dubois,test,jeroslow_wang,63,168,2.6666666666666665,1,0,0,417,2305,262,261,22,0.2294593685946946,0.28890504100127146,396.32000000000005
dubois_dubois21,satlib_dimacs_dubois,test,progress_only,63,168,2.6666666666666665,1,0,0,528,1577,159,158,22,0.2294593685946946,0.2225968749844469,323.70799999999997
dubois_dubois21,satlib_dimacs_dubois,test,score_with_R,63,168,2.6666666666666665,1,0,0,647,2681,225,224,24,0.2294593685946946,0.35650745799648575,429.824
dubois_dubois21,satlib_dimacs_dubois,test,gate_v17,63,168,2.6666666666666665,1,0,0,465,1290,136,135,26,0.2294593685946946,0.20698841600096785,280.66
dubois_dubois21,satlib_dimacs_dubois,test,gate_shuffled_R,63,168,2.6666666666666665,1,0,0,498,1291,126,125,26,0.4893346867267158,0.2142194590123836,280.56399999999996
dubois_dubois22,satlib_dimacs_dubois,test,vsids,66,176,2.6666666666666665,1,0,0,581,1614,177,176,33,0.22898092571905138,0.25975020800251514,357.756
dubois_dubois22,satlib_dimacs_dubois,test,moms,66,176,2.6666666666666665,1,0,0,73,1483,48,47,23,0.22898092571905138,0.058921625022776425,75.83200000000001
dubois_dubois22,satlib_dimacs_dubois,test,jeroslow_wang,66,176,2.6666666666666665,1,0,0,455,2499,280,279,23,0.22898092571905138,0.3319724579923786,426.496
dubois_dubois22,satlib_dimacs_dubois,test,progress_only,66,176,2.6666666666666665,1,0,0,580,1614,181,180,33,0.22898092571905138,0.26338966700132005,361.456
dubois_dubois22,satlib_dimacs_dubois,test,score_with_R,66,176,2.6666666666666665,1,0,0,651,1787,169,168,26,0.22898092571905138,0.3090978750260547,371.448
dubois_dubois22,satlib_dimacs_dubois,test,gate_v17,66,176,2.6666666666666665,1,0,0,485,1600,173,172,25,0.22898092571905138,0.2493505830061622,324.9
dubois_dubois22,satlib_dimacs_dubois,test,gate_shuffled_R,66,176,2.6666666666666665,1,0,0,595,2007,186,185,27,0.8592319140883858,0.308191791002173,372.528
dubois_dubois23,satlib_dimacs_dubois,test,vsids,69,184,2.6666666666666665,1,0,0,672,2081,197,196,25,0.2285445633357869,0.327800708997529,406.92400000000004
dubois_dubois23,satlib_dimacs_dubois,test,moms,69,184,2.6666666666666665,1,0,0,76,1619,50,49,24,0.2285445633357869,0.06536100001540035,79.276
dubois_dubois23,satlib_dimacs_dubois,test,jeroslow_wang,69,184,2.6666666666666665,1,0,0,495,2665,298,297,24,0.2285445633357869,0.38001854199683294,457.16
dubois_dubois23,satlib_dimacs_dubois,test,progress_only,69,184,2.6666666666666665,1,0,0,613,1812,180,179,24,0.2285445633357869,0.2852371249755379,371.14799999999997
dubois_dubois23,satlib_dimacs_dubois,test,score_with_R,69,184,2.6666666666666665,1,0,0,670,2406,217,216,26,0.2285445633357869,0.3950797920115292,427.624
dubois_dubois23,satlib_dimacs_dubois,test,gate_v17,69,184,2.6666666666666665,1,0,0,469,1657,161,160,29,0.2285445633357869,0.24653016598313116,308.328
dubois_dubois23,satlib_dimacs_dubois,test,gate_shuffled_R,69,184,2.6666666666666665,1,0,0,575,1743,175,174,28,4.528409810057287e-05,0.2949540830159094,354.472
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,vsids,90,300,3.3333333333333335,1,1,0,5,85,0,0,5,0.036841315093140335,0.0029072499892208725,1.84
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,moms,90,300,3.3333333333333335,1,1,0,17,73,0,0,17,0.036841315093140335,0.007160125009249896,5.3919999999999995
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,jeroslow_wang,90,300,3.3333333333333335,1,1,0,19,71,0,0,19,0.036841315093140335,0.00901999999769032,5.984
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,progress_only,90,300,3.3333333333333335,1,1,0,20,70,0,0,20,0.036841315093140335,0.009186874987790361,6.28
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,score_with_R,90,300,3.3333333333333335,1,1,0,13,116,1,1,11,0.036841315093140335,0.00764279198483564,5.364000000000001
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,gate_v17,90,300,3.3333333333333335,1,1,0,12,78,0,0,12,0.036841315093140335,0.006594583013793454,3.9119999999999995
flat30-60_flat30-1,satlib_graph_coloring_flat30,test,gate_shuffled_R,90,300,3.3333333333333335,1,1,0,14,76,0,0,14,0.25922184002807824,0.007400833012070507,4.5040000000000004
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,vsids,90,300,3.3333333333333335,1,1,0,9,81,0,0,9,0.03262320894272948,0.004299207997974008,3.0239999999999996
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,moms,90,300,3.3333333333333335,1,1,0,13,77,0,0,13,0.03262320894272948,0.005993416998535395,4.208
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,jeroslow_wang,90,300,3.3333333333333335,1,1,0,23,251,7,7,18,0.03262320894272948,0.014038291992619634,14.903999999999998
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,progress_only,90,300,3.3333333333333335,1,1,0,19,135,2,2,14,0.03262320894272948,0.010290000005625188,8.24
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,score_with_R,90,300,3.3333333333333335,1,1,0,17,73,0,0,17,0.03262320894272948,0.008579749992350116,5.3919999999999995
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,gate_v17,90,300,3.3333333333333335,1,1,0,18,147,3,3,15,0.03262320894272948,0.010786250000819564,8.987999999999998
flat30-60_flat30-10,satlib_graph_coloring_flat30,test,gate_shuffled_R,90,300,3.3333333333333335,1,1,0,19,153,3,3,14,0.532391501731919,0.010813999979291111,9.312
flat30-60_flat30-100,satlib_graph_coloring_flat30,test,vsids,90,300,3.3333333333333335,1,1,0,6,84,0,0,6,0.03492914847942184,0.0032543330162297934,2.1359999999999997
