family,instance_id,maat_only,mode_a,mode_a_gated,progress_only,random,vsids,delta_gate_minus_score,gate_better
random_3sat,10,9.364,11.008,13.128,10.372,10.412,10.388,2.120000000000001,False
random_3sat,12,14.388,10.748,11.8,10.456,21.612,10.456,1.0520000000000014,False
random_3sat,14,4.62,2.892,2.14,2.14,2.144,2.14,-0.7519999999999998,True
random_3sat,16,14.936,13.332,11.748,10.424,28.148,11.744,-1.5840000000000014,True
random_3sat,18,19.604,1.856,4.252,4.5600000000000005,11.708,4.271999999999999,2.396,False
random_3sat,20,30.624,23.016,26.12,15.888,36.808,15.888,3.1040000000000028,False
random_3sat,22,2.448,1.856,8.836,2.152,9.016,2.152,6.98,False
random_3sat,24,5.839999999999999,2.632,1.86,6.192,5.247999999999999,7.648000000000001,-0.772,True
random_3sat,26,2.904,1.264,1.856,1.264,2.452,1.264,0.5920000000000001,False
random_3sat,28,12.924,9.64,14.76,1.86,1.86,2.156,5.119999999999999,False
random_3sat,30,25.776,15.34,19.12,13.624,59.28,14.236,3.780000000000001,False
random_3sat,32,5.5760000000000005,5.028,5.032,12.108,5.5360000000000005,12.104,0.004000000000000448,False
random_3sat,34,18.472,13.46,13.128,14.856000000000002,26.388,14.528,-0.33200000000000074,True
random_3sat,36,3.648,4.228,3.344,4.224,4.54,4.528,-0.8839999999999999,True
random_3sat,38,37.888,18.896,15.452,18.543999999999997,44.16,18.508,-3.444000000000001,True
random_3sat,40,15.436,23.772,15.54,8.932,6.451999999999999,11.164,-8.232,True
random_3sat,42,2.76,3.64,3.344,4.232,3.648,4.832,-0.29600000000000026,True
random_3sat,44,32.228,27.824,28.216,28.088,51.696,31.656,0.39199999999999946,False
random_3sat,46,15.932,23.94,20.688,17.192,31.948,17.192,-3.2520000000000024,True
random_3sat,48,28.776,18.555999999999997,23.036,24.384,25.784,20.344,4.480000000000004,False
random_3sat,50,12.028,4.287999999999999,9.46,5.367999999999999,6.4559999999999995,5.367999999999999,5.1720000000000015,False
random_3sat,52,25.415999999999997,19.848,19.36,19.848,33.144,21.324,-0.48799999999999955,True
xor3_cnf,72,3.616,1.244,1.244,0.948,5.231999999999999,0.948,0.0,False
xor3_cnf,73,0.944,0.944,1.98,1.98,0.944,1.98,1.036,False
xor3_cnf,74,5.8759999999999994,5.336,5.08,10.352,18.472,10.352,-0.2560000000000002,True
xor3_cnf,75,10.38,10.256,5.04,5.04,13.308,5.04,-5.216,True
xor3_cnf,76,7.688,10.312,10.304,10.336,10.336,10.336,-0.007999999999999119,True
xor3_cnf,77,13.348,5.048,5.056,5.088,20.26,5.088,0.008000000000000007,False
xor3_cnf,78,2.2920000000000003,1.252,1.252,1.252,2.584,1.252,0.0,False
xor3_cnf,79,2.58,1.248,0.952,1.248,5.58,1.248,-0.29600000000000004,True
xor3_cnf,80,1.6960000000000002,1.6960000000000002,1.7200000000000002,1.6960000000000002,3.632,1.6960000000000002,0.02400000000000002,False
xor3_cnf,81,7.716,5.088,5.088,10.368,5.0840000000000005,10.368,0.0,False
xor3_cnf,82,13.044,5.08,10.304,5.104,12.664,5.104,5.224,False
xor3_cnf,83,13.08,9.108,7.756,7.8,9.036,7.8,-1.3520000000000003,True
xor3_cnf,84,9.24,3.62,2.2920000000000003,5.0,18.404,5.0,-1.3279999999999998,True
xor3_cnf,85,12.148,0.964,3.3920000000000003,2.0,1.26,2.0,2.4280000000000004,False
xor3_cnf,86,4.26,3.3720000000000003,0.968,3.3720000000000003,22.376,3.3720000000000003,-2.4040000000000004,True
xor3_cnf,87,8.744,6.776,6.736,9.728,38.552,6.335999999999999,-0.040000000000000036,True
xor3_cnf,88,5.096,7.752,7.752,7.752,13.128,7.736,0.0,False
xor3_cnf,89,20.452,10.448,5.08,5.096,13.132,5.096,-5.368,True
