family,n,mean_score,mean_gate,mean_delta,median_delta,gate_win_rate
pigeonhole,3,452.808,432.05466666666666,-20.75333333333329,-13.988,1.0
graph_coloring,6,4.979333333333334,4.462666666666666,-0.5166666666666668,-0.44399999999999995,0.6666666666666666
xor3_cnf,18,4.974666666666667,4.5553333333333335,-0.41933333333333334,-0.0039999999999995595,0.5
modular_3sat,18,7.507555555555555,7.208,-0.2995555555555558,-0.34399999999999986,0.6111111111111112
planted_3sat,27,4.426074074074074,4.631407407407408,0.20533333333333326,0.04800000000000004,0.4074074074074074
random_3sat,27,11.208888888888888,11.812296296296298,0.6034074074074077,0.39199999999999946,0.4444444444444444
