monitor,threshold,false_alarm_rate,detection_rate,median_lead,utility,spearman_oracle,domain,metric
gate_R_le_q75,0.22114100736302889,0.050124422324920016,0.75,2.0,1.5,0.3841016488860942,Fluid,lead_coverage_utility_higher_is_better
base_tail_activity,0.2329083951930815,0.050124422324920016,1.0,1.3999999999999986,1.3999999999999986,0.9806278850793121,Fluid,lead_coverage_utility_higher_is_better
score_R_multiplicative,0.20781175680003677,0.050124422324920016,1.0,1.2749999999999986,1.2749999999999986,0.9907565697600234,Fluid,lead_coverage_utility_higher_is_better
high_mode_fraction,0.00011268817999960001,0.050124422324920016,1.0,1.2249999999999996,1.2249999999999996,0.978653829628639,Fluid,lead_coverage_utility_higher_is_better
max_abs_vorticity,0.840336822212409,0.050124422324920016,0.5,1.6499999999999995,0.8249999999999997,0.2610941803827814,Fluid,lead_coverage_utility_higher_is_better
rms_vorticity,0.2579069824501635,0.050124422324920016,0.5,1.0249999999999986,0.5124999999999993,0.14057850287385568,Fluid,lead_coverage_utility_higher_is_better
gate_R_le_q50,0.2070074304096229,0.050124422324920016,0.25,2.0,0.5,-0.1520501740422739,Fluid,lead_coverage_utility_higher_is_better
gate_R_le_q25,0.16991603915950948,0.050124422324920016,0.0,,0.0,-0.4458048411804473,Fluid,lead_coverage_utility_higher_is_better
